Time,Category,Message
2021-05-19 18:25:06,chrome,Starting the browser...
2021-05-19 18:25:12,chrome,Browser started successfully. Navigating to URL: https://www.saucedemo.com/
2021-05-19 18:25:12,chrome,We are on the login page.
2021-05-19 18:25:18,screenshot,"Screenshot ""01_login_page.png"" successfully created."
2021-05-19 18:25:18,login,=== LOGIN ===
2021-05-19 18:25:18,login,Trying to login as user standard_user
2021-05-19 18:25:21,login,Clicking on the login button
2021-05-19 18:25:21,login,Checking that login was successful.
2021-05-19 18:25:21,login,"OK: Login to URL ""https://www.saucedemo.com/"" with user name ""standard_user"" successful!"
2021-05-19 18:25:21,mainpage,=== ADD ITEMS ===
2021-05-19 18:25:21,mainpage,We are on the main page.
2021-05-19 18:25:21,mainpage,Looking for items to add to cart
2021-05-19 18:25:21,mainpage,"Adding to cart item 1: ""Sauce Labs Backpack"""
2021-05-19 18:25:22,mainpage,"Adding to cart item 2: ""Sauce Labs Bike Light"""
2021-05-19 18:25:22,mainpage,"Adding to cart item 3: ""Sauce Labs Bolt T-Shirt"""
2021-05-19 18:25:22,mainpage,"Adding to cart item 4: ""Sauce Labs Fleece Jacket"""
2021-05-19 18:25:22,mainpage,"Adding to cart item 5: ""Sauce Labs Onesie"""
2021-05-19 18:25:22,mainpage,"Adding to cart item 6: ""Test.allTheThings() T-Shirt (Red)"""
2021-05-19 18:25:23,screenshot,"Screenshot ""02_main_page_items_added.png"" successfully created."
2021-05-19 18:25:23,shoppingcart,=== CHECK SHOPPING CART ===
2021-05-19 18:25:23,shoppingcart,Opening shopping cart to check listed items
2021-05-19 18:25:23,shoppingcart,We are on the shopping cart page.
2021-05-19 18:25:23,screenshot,"Screenshot ""03_shopping_cart_page.png"" successfully created."
2021-05-19 18:25:23,shoppingcart,Checking that previously added 6 items are really in the shopping cart
2021-05-19 18:25:23,shoppingcart,"Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt, Sauce Labs Fleece Jacket, Sauce Labs Onesie, Test.allTheThings() T-Shirt (Red)"
2021-05-19 18:25:23,shoppingcart,"Checking item 1: ""Sauce Labs Backpack"""
2021-05-19 18:25:24,shoppingcart,"OK: item ""Sauce Labs Backpack"" is in the shopping cart!"
2021-05-19 18:25:24,shoppingcart,"Checking item 2: ""Sauce Labs Bike Light"""
